date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
3/10/2020,284.64,288.42,288.52,273.5,276444058,284.64,288.42,288.52,273.5,276444058,14.19,5.1745,10-Mar-20,-0.004006
3/11/2020,280.7,274.36,281.94,270.88,256416563,280.7,274.36,281.94,270.88,256416563,-14.06,-4.8748,11-Mar-20,-0.052559
3/12/2020,256,248.11,266.66,247.68,392220669,256,248.11,266.66,247.68,392220669,-26.25,-9.5677,12-Mar-20,-0.143207
3/13/2020,263.09,269.32,271.48,248.52,329566100,263.09,269.32,271.48,248.52,329566100,21.21,8.5486,13-Mar-20,-0.069963
3/16/2020,241.18,239.85,256.9,237.36,297240027,241.18,239.85,256.9,237.36,297240027,-29.47,-10.9424,16-Mar-20,-0.171731
3/17/2020,245.04,252.8,256.17,237.07,262070471,245.04,252.8,256.17,237.07,262070471,12.95,5.3992,17-Mar-20,-0.127012
3/18/2020,236.25,240,248.37,228.02,327597131,236.25,240,248.37,228.02,327597131,-12.8,-5.0633,18-Mar-20,-0.171213
3/19/2020,239.25,240.51,247.38,232.22,289322037,239.25,240.51,247.38,232.22,289322037,0.51,0.2125,19-Mar-20,-0.169452
3/20/2020,242.53,228.8,244.47,228.5,347158794,242.53,228.8,244.47,228.5,347158794,-11.71,-4.8688,20-Mar-20,-0.20989
3/23/2020,228.19,222.95,229.68,218.26,326025169,228.19,222.95,229.68,218.26,326025169,-5.85,-2.5568,23-Mar-20,-0.230092
3/24/2020,234.42,243.15,244.1,233.8,235494475,234.42,243.15,244.1,233.8,235494475,20.2,9.0603,24-Mar-20,-0.160336
