date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
3/2/2020,150,149.2,150.73,149.04,16295360,150,149.2,150.73,149.04,16295360,0.82,0.5526,2-Mar-20,0.178515
3/3/2020,150.84,153.89,155.24,150.74,28687689,150.84,153.89,155.24,150.74,28687689,4.69,3.1434,3-Mar-20,0.215561
3/4/2020,154.4,154.16,154.96,153.7,12315472,154.4,154.16,154.96,153.7,12315472,0.27,0.1754,4-Mar-20,0.217694
3/5/2020,156.06,157.49,157.62,155.72,17973475,156.06,157.49,157.62,155.72,17973475,3.33,2.1601,5-Mar-20,0.243997
3/6/2020,158.33,157.55,159.25,154.54,26973448,158.33,157.55,159.25,154.54,26973448,0.06,0.0381,6-Mar-20,0.244471
3/9/2020,158.6,157.81,159.37,156.33,24868674,158.6,157.81,159.37,156.33,24868674,0.26,0.165,9-Mar-20,0.246524
3/10/2020,156.18,154.48,156.41,154.39,18811547,156.18,154.48,156.41,154.39,18811547,-3.33,-2.1101,10-Mar-20,0.220221
3/11/2020,156.25,153.93,156.5,153.61,18353302,156.25,153.93,156.5,153.61,18353302,-0.55,-0.356,11-Mar-20,0.215877
3/12/2020,151.53,147.79,151.55,146.85,32893430,151.53,147.79,151.55,146.85,32893430,-6.14,-3.9888,12-Mar-20,0.167378
3/13/2020,149.42,143.28,149.6,141.58,35177244,149.42,143.28,149.6,141.58,35177244,-4.51,-3.0516,13-Mar-20,0.131754
3/16/2020,137.56,141.64,142.96,136.12,24495962,137.56,141.64,142.96,136.12,24495962,-1.64,-1.1446,16-Mar-20,0.118799
3/17/2020,140.18,143.56,146.2,139.93,24490276,140.18,143.56,146.2,139.93,24490276,1.92,1.3555,17-Mar-20,0.133965
3/18/2020,141.75,140.7,142.88,138.5,21953448,141.75,140.7,142.88,138.5,21953448,-2.86,-1.9922,18-Mar-20,0.111374
3/19/2020,139.08,138.04,140.5,137.85,20828884,139.08,138.04,140.5,137.85,20828884,-2.66,-1.8905,19-Mar-20,0.090363
3/20/2020,140.71,140.11,141.17,139.14,20056048,140.71,140.11,141.17,139.14,20056048,2.07,1.4996,20-Mar-20,0.106714
3/23/2020,142.68,146.3,146.93,142.28,28275212,142.68,146.3,146.93,142.28,28275212,6.19,4.418,23-Mar-20,0.155608
3/24/2020,153.5,153.4,155.66,152.05,20743472,153.5,153.4,155.66,152.05,20743472,7.1,4.853,24-Mar-20,0.21169
3/25/2020,152.58,151.3,152.88,151.01,16457183,152.58,151.3,152.88,151.01,16457183,-2.1,-1.369,25-Mar-20,0.195103
